 lambda          omega           period          frequency
 +3.230129e+01  +5.683422e+00  +1.105528e+00  +9.045448e-01
 +4.751267e+02  +2.179740e+01  +2.882539e-01  +3.469164e+00
 +8.566295e+02  +2.926823e+01  +2.146759e-01  +4.658184e+00
 +2.841167e+03  +5.330260e+01  +1.178777e-01  +8.483372e+00
 +5.350798e+03  +7.314915e+01  +8.589553e-02  +1.164205e+01
 +8.830129e+03  +9.396876e+01  +6.686462e-02  +1.495559e+01
 +2.301091e+04  +1.516935e+02  +4.142027e-02  +2.414277e+01
 +2.379658e+04  +1.542614e+02  +4.073076e-02  +2.455147e+01
 +5.197547e+04  +2.279813e+02  +2.756009e-02  +3.628435e+01
 +5.733384e+04  +2.394449e+02  +2.624064e-02  +3.810883e+01
